Lemma,APD
reficio,0.50089204
irrideo,0.5007948
excido,0.50079167
recenseo,0.5007688
innocens,0.50074434
chorus,0.50059867
soror,0.5005414
rus,0.50048894
furtum,0.50045824
ilico,0.5004491
iratus,0.50040835
basis,0.5004015
diuerto,0.50040054
ingens,0.50038123
prex,0.5003117
arcanum,0.50028956
aptus,0.50025314
compleo,0.50024086
regno,0.50023556
scienter,0.5002347
consuetudo,0.5001522
turbo,0.5001194
rationalis,0.5001193
turpiter,0.5001125
calidus,0.5000972
importo,0.500038
condico,0.49996874
auris,0.4999574
frango,0.4998951
pudor,0.4998561
nempe,0.49983844
sponso,0.49982512
palatinus,0.49978817
speciosus,0.49978665
recedo,0.49976543
caedo,0.49975505
misereo,0.49975488
excellentia,0.49974272
aridus,0.4997061
aquilo,0.4997
rado,0.4996956
discus,0.49967557
exinanio,0.4996628
concilium,0.4996505
custos,0.49958393
extremum,0.4995747
dea,0.49957448
rumpo,0.49951583
tergo,0.499502
auspicium,0.49946457
us,0.49942014
bonum,0.4994128
satisfacio,0.49939683
perspicuus,0.49937934
conor,0.49932864
rector,0.49931815
festus,0.49931163
mendacium,0.49926
confestim,0.499257
tolero,0.49916238
astruo,0.49915195
oriens,0.49912366
pagus,0.49909872
illicio,0.49906468
concessio,0.49898738
falsum,0.49893668
peccatum,0.4988896
concido,0.49885544
modero,0.49882296
mane,0.49879888
interitus,0.4987823
ludus,0.49872735
signo,0.4987008
soluo,0.49863094
iudex,0.4985735
commuto,0.49853685
effundo,0.4985104
denseo,0.49844372
insequor,0.49840593
lenis,0.49837148
multiplex,0.49836758
uir,0.49835134
singulus,0.49835032
caput,0.49834746
ordo,0.49830332
attineo,0.49825695
fama,0.4982545
proxime,0.49825126
sollicite,0.49821365
profundus,0.4982092
sermo,0.49817505
copia,0.49816576
celeriter,0.49813142
labo,0.49811158
propositum,0.49809715
nomen,0.4980688
ignosco,0.4980274
confusus,0.49800456
lignum,0.4979989
suggero,0.49799883
merito,0.49799109
paulinus,0.49792954
curatio,0.49792376
pateo,0.49791858
forma,0.49791375
circumcido,0.4978944
lex,0.4978433
sapiens,0.49775037
opinor,0.49771583
dirus,0.49765363
natio,0.49760455
moror,0.49759898
breuis,0.49753824
praesidium,0.49751377
approbo,0.4974775
recordatio,0.49745995
similitudo,0.49745613
affectio,0.49744183
scriptum,0.4974193
reliquum,0.49735337
torqueo,0.49732777
