id,title,creator,date_avg,date_range_start,date_range_end,type,file
MQDQ-414,de numeris oratorum,Rufinus,437,375,500,poetry,lat_0450.0_MQDQ-414.txt
MQDQ-413,in metra Terentiana,Rufinus,437,375,500,poetry,lat_0450.0_MQDQ-413.txt
MQDQ-123,in Caesares,uersus ex Historia Augusta,445,390,500,poetry,lat_0250.0_MQDQ-123.txt
LC-12,Helius (Historia Augusta),[Auctor incertus],445,390,500,prose,lat_0400_LC-12.txt
LC-12_1,Carus et Carinus et Numerianus (Historia Augusta),[Auctor incertus],445,390,500,prose,lat_0400_LC-12_1.txt
MQDQ-382,de pascha,pseudo Cyprianus,450,400,500,poetry,lat_0400.0_MQDQ-382.txt
MQDQ-441,"de ultimis syllabis, praefatio",pseudo Probus,450,400,500,poetry,lat_0400.0_MQDQ-441.txt
MQDQ-615,epigramma in ecclesia sancti Petri,Achilleus Spoletanus Episcopus,450,400,500,poetry,lat_0450.0_MQDQ-615.txt
MQDQ-2,aegritudo Perdicae,[Auctor incertus],450,400,500,poetry,lat_0450.0_MQDQ-2.txt
MQDQ-349,praeceptum,Priscillianista quidam,450,400,500,poetry,lat_0450.0_MQDQ-349.txt
MQDQ-287,uersus de orantibus,Paulinus Petricordiae,475,450,500,poetry,lat_0450.0_MQDQ-287.txt
MQDQ-286,de uisitatione nepotuli sui,Paulinus Petricordiae,475,450,500,poetry,lat_0450.0_MQDQ-286.txt
MQDQ-212,de nuptiis Philologiae et Mercurii,Martianus Capella,487,475,500,poetry,lat_0450.0_MQDQ-212.txt
MQDQ-98,carmen (anth. Riese),Florentinus,498,496,500,poetry,lat_0550.0_MQDQ-98.txt
MQDQ-383,de resurrectione mortuorum,pseudo Cyprianus,500,500,500,poetry,lat_0400.0_MQDQ-383.txt
MQDQ-277,carminum fragmenta,Parthenius Africanus Presbyter,500,500,500,poetry,lat_0500_MQDQ-277.txt
MQDQ-111,"carmen epist. 2, 19 insertum",Ruricius Lemovicensis Episcopus,488,470,507,poetry,lat_0473_MQDQ-111.txt
MQDQ-62,"Romulea, fragmentum",Dracontius,495,480,510,poetry,lat_0450.0_MQDQ-62.txt
MQDQ-63,Orestes,Dracontius,495,480,510,poetry,lat_0450.0_MQDQ-63.txt
MQDQ-61,Romulea,Dracontius,495,480,510,poetry,lat_0450.0_MQDQ-61.txt
MQDQ-75,carmina 1,Ennodius,521,497,513,poetry,lat_0521_MQDQ-75.txt
MQDQ-76,carmina 2,Ennodius,521,497,513,poetry,lat_0521_MQDQ-76.txt
MQDQ-83,"Castitas, opusc. 6",Ennodius,521,497,513,poetry,lat_0521_MQDQ-83.txt
MQDQ-77,"dictiones, 12, 24, 28, uersus inserti",Ennodius,521,497,513,poetry,lat_0521_MQDQ-77.txt
